#Accession	ID	Description	Count	Count_pct
PF08445	FR47	"FR47-like protein"	1	0.01
PF01883	FeS_assembly_P	"Iron-sulfur cluster assembly protein"	2	0.01
PF01145	Band_7	"SPFH domain / Band 7 family"	9	0.05
PF00673	Ribosomal_L5_C	"ribosomal L5P family C-terminus"	1	0.01
PF05272	VirE	"Virulence-associated protein E"	13	0.07
PF08892	YqcI_YcgG	"YqcI/YcgG family"	1	0.01
PF04342	DMT_6	"Putative member of DMT superfamily (DUF486)"	2	0.01
PF03959	FSH1	"Serine hydrolase (FSH1)"	1	0.01
PF00253	Ribosomal_S14	"Ribosomal protein S14p/S29e"	2	0.01
PF01541	GIY-YIG	"GIY-YIG catalytic domain"	2	0.01
PF02620	YceD	"Large ribosomal RNA subunit accumulation protein YceD"	2	0.01
PF00582	Usp	"Universal stress protein family"	4	0.02
PF01435	Peptidase_M48	"Peptidase family M48"	9	0.05
PF04536	TPM_phosphatase	"TPM domain"	5	0.03
PF13551	HTH_29	"Winged helix-turn helix"	1	0.01
PF01497	Peripla_BP_2	"Periplasmic binding protein"	6	0.03
PF00940	RNA_pol	"DNA-dependent RNA polymerase"	2	0.01
PF00180	Iso_dh	"Isocitrate/isopropylmalate dehydrogenase"	7	0.04
PF00175	NAD_binding_1	"Oxidoreductase NAD-binding domain"	1	0.01
PF01330	RuvA_N	"RuvA N terminal domain"	1	0.01
PF02599	CsrA	"Global regulator protein family"	5	0.03
PF00692	dUTPase	"dUTPase"	10	0.05
PF08541	ACP_syn_III_C	"3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal  "	1	0.01
PF03649	UPF0014	"Uncharacterised protein family (UPF0014)"	1	0.01
PF04226	Transgly_assoc	"Transglycosylase associated protein"	1	0.01
PF05201	GlutR_N	"Glutamyl-tRNAGlu reductase, N-terminal domain"	1	0.01
PF00782	DSPc	"Dual specificity phosphatase, catalytic domain"	3	0.02
PF00877	NLPC_P60	"NlpC/P60 family"	32	0.18
PF02784	Orn_Arg_deC_N	"Pyridoxal-dependent decarboxylase, pyridoxal binding domain"	5	0.03
PF00317	Ribonuc_red_lgN	"Ribonucleotide reductase, all-alpha domain"	2	0.01
PF00358	PTS_EIIA_1	"phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1"	2	0.01
PF03825	Nuc_H_symport	"Nucleoside H+ symporter"	2	0.01
PF00165	HTH_AraC	"Bacterial regulatory helix-turn-helix proteins, AraC family"	3	0.02
PF07519	Tannase	"Tannase and feruloyl esterase"	2	0.01
PF13988	DUF4225	"Protein of unknown function (DUF4225)"	6	0.03
PF01501	Glyco_transf_8	"Glycosyl transferase family 8"	5	0.03
PF10665	Minor_capsid_1	"Minor capsid protein"	2	0.01
PF14794	DUF4479	"Domain of unknown function (DUF4479)"	1	0.01
PF00910	RNA_helicase	"RNA helicase"	27	0.15
PF16475	DUF5052	"Domain of unknown function (DUF5052)"	2	0.01
PF01103	Bac_surface_Ag	"Surface antigen"	6	0.03
PF15970	HicB-like_2	"HicB_like antitoxin of bacterial toxin-antitoxin system"	1	0.01
PF10876	Phage_TAC_9	"Phage tail assemb.y chaperone protein, TAC"	3	0.02
PF11967	RecO_N	"Recombination protein O N terminal"	1	0.01
PF02660	G3P_acyltransf	"Glycerol-3-phosphate acyltransferase"	2	0.01
PF03992	ABM	"Antibiotic biosynthesis monooxygenase"	1	0.01
PF01220	DHquinase_II	"Dehydroquinase class II"	2	0.01
PF02257	RFX_DNA_binding	"RFX DNA-binding domain"	1	0.01
PF09285	Elong-fact-P_C	"Elongation factor P, C-terminal"	3	0.02
PF01243	Putative_PNPOx	"Pyridoxamine 5'-phosphate oxidase"	1	0.01
PF16082	Phage_holin_2_4	"Bacteriophage holin family, superfamily II-like"	3	0.02
PF08965	DUF1870	"Domain of unknown function (DUF1870)"	3	0.02
PF13507	GATase_5	"CobB/CobQ-like glutamine amidotransferase domain"	2	0.01
PF02626	CT_A_B	"Carboxyltransferase domain, subdomain A and B"	1	0.01
PF01161	PBP	"Phosphatidylethanolamine-binding protein"	2	0.01
PF08713	DNA_alkylation	"DNA alkylation repair enzyme"	1	0.01
PF02677	QueH	"Epoxyqueuosine reductase QueH"	1	0.01
PF05389	MecA	"Negative regulator of genetic competence (MecA)"	1	0.01
PF07977	FabA	"FabA-like domain"	1	0.01
PF06114	Peptidase_M78	"IrrE N-terminal-like domain"	20	0.11
PF12894	ANAPC4_WD40	"Anaphase-promoting complex subunit 4 WD40 domain"	1	0.01
PF12147	Methyltransf_20	"Putative methyltransferase"	1	0.01
PF00448	SRP54	"SRP54-type protein, GTPase domain"	6	0.03
PF02657	SufE	"Fe-S metabolism associated domain"	1	0.01
PF01112	Asparaginase_2	"Asparaginase"	3	0.02
PF03169	OPT	"OPT oligopeptide transporter protein"	2	0.01
PF14279	HNH_5	"HNH endonuclease"	5	0.03
PF06831	H2TH	"Formamidopyrimidine-DNA glycosylase H2TH domain"	1	0.01
PF17755	UvrA_DNA-bind	"UvrA DNA-binding domain"	3	0.02
PF02951	GSH-S_N	"Prokaryotic glutathione synthetase, N-terminal domain"	3	0.02
PF04954	SIP	"Siderophore-interacting protein"	1	0.01
PF03099	BPL_LplA_LipB	"Biotin/lipoate A/B protein ligase family"	1	0.01
PF13378	MR_MLE_C	"Enolase C-terminal domain-like"	2	0.01
PF04365	BrnT_toxin	"Ribonuclease toxin, BrnT, of type II toxin-antitoxin system"	1	0.01
PF00817	IMS	"impB/mucB/samB family"	6	0.03
PF09924	DUF2156	"Uncharacterised conserved protein (DUF2156)"	3	0.02
PF04266	ASCH	"ASCH domain"	7	0.04
PF10399	UCR_Fe-S_N	"Ubiquitinol-cytochrome C reductase Fe-S subunit TAT signal"	2	0.01
PF07497	Rho_RNA_bind	"Rho termination factor, RNA-binding domain"	1	0.01
PF00462	Glutaredoxin	"Glutaredoxin"	2	0.01
PF00177	Ribosomal_S7	"Ribosomal protein S7p/S5e"	1	0.01
PF07722	Peptidase_C26	"Peptidase C26"	5	0.03
PF06576	DUF1133	"Protein of unknown function (DUF1133)"	2	0.01
PF04264	YceI	"YceI-like domain"	1	0.01
PF06228	ChuX_HutX	"Haem utilisation ChuX/HutX"	2	0.01
PF03741	TerC	"Integral membrane protein TerC family"	2	0.01
PF13755	Sensor_TM1	"Sensor N-terminal transmembrane domain"	1	0.01
PF13681	PilX	"Type IV pilus assembly protein PilX C-term"	1	0.01
PF03180	Lipoprotein_9	"NLPA lipoprotein"	8	0.04
PF02325	YGGT	"YGGT family"	1	0.01
PF00563	EAL	"EAL domain"	4	0.02
PF00809	Pterin_bind	"Pterin binding enzyme"	6	0.03
PF00472	RF-1	"RF-1 domain"	6	0.03
PF05433	Rick_17kDa_Anti	"Glycine zipper 2TM domain"	2	0.01
PF01925	TauE	"Sulfite exporter TauE/SafE"	8	0.04
PF11762	Arabinose_Iso_C	"L-arabinose isomerase C-terminal domain"	1	0.01
PF12860	PAS_7	"PAS fold"	3	0.02
PF07751	Abi_2	"Abi-like protein"	6	0.03
PF07992	Pyr_redox_2	"Pyridine nucleotide-disulphide oxidoreductase"	16	0.09
PF07943	PBP5_C	"Penicillin-binding protein 5, C-terminal domain"	1	0.01
PF04998	RNA_pol_Rpb1_5	"RNA polymerase Rpb1, domain 5"	2	0.01
PF05616	Neisseria_TspB	"Neisseria meningitidis TspB protein"	1	0.01
PF13306	LRR_5	"BspA type Leucine rich repeat region (6 copies)"	1	0.01
PF04356	DUF489	"Protein of unknown function (DUF489)"	2	0.01
PF09424	YqeY	"Yqey-like protein"	1	0.01
PF00724	Oxidored_FMN	"NADH:flavin oxidoreductase / NADH oxidase family"	5	0.03
PF01047	MarR	"MarR family"	6	0.03
PF00004	AAA	"ATPase family associated with various cellular activities (AAA)"	25	0.14
PF00042	Globin	"Globin"	1	0.01
PF02065	Melibiase	"Melibiase"	3	0.02
PF13677	MotB_plug	"Membrane MotB of proton-channel complex MotA/MotB"	1	0.01
PF02897	Peptidase_S9_N	"Prolyl oligopeptidase, N-terminal beta-propeller domain"	2	0.01
PF13429	TPR_15	"Tetratricopeptide repeat"	1	0.01
PF06826	Asp-Al_Ex	"Predicted Permease Membrane Region"	2	0.01
PF04339	FemAB_like	"Peptidogalycan biosysnthesis/recognition"	1	0.01
PF13387	DUF4105	"Domain of unknown function (DUF4105)"	2	0.01
PF00291	PALP	"Pyridoxal-phosphate dependent enzyme"	10	0.05
PF04402	SIMPL	"Protein of unknown function (DUF541)"	1	0.01
PF01765	RRF	"Ribosome recycling factor"	2	0.01
PF13704	Glyco_tranf_2_4	"Glycosyl transferase family 2"	1	0.01
PF05970	PIF1	"PIF1-like helicase"	1	0.01
PF01035	DNA_binding_1	"6-O-methylguanine DNA methyltransferase, DNA binding domain"	1	0.01
PF04984	Phage_sheath_1	"Phage tail sheath protein subtilisin-like domain"	17	0.09
PF13508	Acetyltransf_7	"Acetyltransferase (GNAT) domain"	4	0.02
PF00344	SecY	"SecY translocase"	2	0.01
PF01262	AlaDh_PNT_C	"Alanine dehydrogenase/PNT, C-terminal domain"	3	0.02
PF04995	CcmD	"Heme exporter protein D (CcmD)"	2	0.01
PF00185	OTCace	"Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain"	1	0.01
PF11153	DUF2931	"Protein of unknown function (DUF2931)"	2	0.01
PF06776	IalB	"Invasion associated locus B (IalB) protein"	4	0.02
PF00842	Ala_racemase_C	"Alanine racemase, C-terminal domain"	1	0.01
PF03061	4HBT	"Thioesterase superfamily"	3	0.02
PF02504	FA_synthesis	"Fatty acid synthesis protein"	3	0.02
PF13563	2_5_RNA_ligase2	"2'-5' RNA ligase superfamily"	1	0.01
PF13742	tRNA_anti_2	"OB-fold nucleic acid binding domain"	2	0.01
PF00923	TAL_FSA	"Transaldolase/Fructose-6-phosphate aldolase"	3	0.02
PF01022	HTH_5	"Bacterial regulatory protein, arsR family"	6	0.03
PF01812	5-FTHF_cyc-lig	"5-formyltetrahydrofolate cyclo-ligase family"	3	0.02
PF06476	DUF1090	"Protein of unknown function (DUF1090)"	1	0.01
PF11195	DUF2829	"Protein of unknown function (DUF2829)"	1	0.01
PF00571	CBS	"CBS domain"	6	0.03
PF00515	TPR_1	"Tetratricopeptide repeat"	6	0.03
PF07505	DUF5131	"Protein of unknown function (DUF5131)"	3	0.02
PF09393	DUF2001	"Phage tail tube protein"	11	0.06
PF01443	Viral_helicase1	"Viral (Superfamily 1) RNA helicase"	4	0.02
PF01797	Y1_Tnp	"Transposase IS200 like"	1	0.01
PF00595	PDZ	"PDZ domain"	8	0.04
PF03496	ADPrib_exo_Tox	"ADP-ribosyltransferase exoenzyme"	2	0.01
PF12835	Integrase_1	"Integrase"	1	0.01
PF02092	tRNA_synt_2f	"Glycyl-tRNA synthetase beta subunit"	10	0.05
PF13409	GST_N_2	"Glutathione S-transferase, N-terminal domain"	1	0.01
PF01208	URO-D	"Uroporphyrinogen decarboxylase (URO-D)"	4	0.02
PF08757	CotH	"CotH kinase protein"	1	0.01
PF06421	LepA_C	"GTP-binding protein LepA C-terminus"	3	0.02
PF14743	DNA_ligase_OB_2	"DNA ligase OB-like domain"	2	0.01
PF00333	Ribosomal_S5	"Ribosomal protein S5, N-terminal domain"	1	0.01
PF02322	Cyt_bd_oxida_II	"Cytochrome bd terminal oxidase subunit II"	1	0.01
PF03484	B5	"tRNA synthetase B5 domain"	3	0.02
PF18788	DarA_N	"Defence against restriction A N-terminal"	3	0.02
PF01712	dNK	"Deoxynucleoside kinase"	10	0.05
PF05939	Phage_min_tail	"Phage minor tail protein"	12	0.07
PF09898	DUF2125	"Uncharacterized protein conserved in bacteria (DUF2125)"	1	0.01
PF07274	DUF1440	"Protein of unknown function (DUF1440)"	1	0.01
PF00312	Ribosomal_S15	"Ribosomal protein S15"	1	0.01
PF13506	Glyco_transf_21	"Glycosyl transferase family 21"	2	0.01
PF03788	LrgA	"LrgA family"	2	0.01
PF17972	bMG5	"Bacterial Alpha-2-macroglobulin MG5 domain"	2	0.01
PF08242	Methyltransf_12	"Methyltransferase domain"	4	0.02
PF10109	Phage_TAC_7	"Phage tail assembly chaperone proteins, E, or 41 or 14"	9	0.05
PF02768	DNA_pol3_beta_3	"DNA polymerase III beta subunit, C-terminal domain"	5	0.03
PF12837	Fer4_6	"4Fe-4S binding domain"	1	0.01
PF00668	Condensation	"Condensation domain"	6	0.03
PF10844	DUF2577	"Protein of unknown function (DUF2577)"	8	0.04
PF03023	MurJ	"Lipid II flippase MurJ"	5	0.03
PF04317	DUF463	"YcjX-like family, DUF463"	1	0.01
PF13650	Asp_protease_2	"Aspartyl protease"	1	0.01
PF11775	CobT_C	"Cobalamin biosynthesis protein CobT VWA domain"	1	0.01
PF04313	HSDR_N	"Type I restriction enzyme R protein N terminus (HSDR_N)"	3	0.02
PF18335	SH3_13	"ATP-dependent RecD-like DNA helicase SH3 domain"	1	0.01
PF04820	Trp_halogenase	"Tryptophan halogenase"	2	0.01
PF01842	ACT	"ACT domain"	3	0.02
PF06890	Phage_Mu_Gp45	"Bacteriophage Mu Gp45 protein"	8	0.04
PF08461	HTH_12	"Ribonuclease R winged-helix domain"	1	0.01
PF05367	Phage_endo_I	"Phage endonuclease I"	3	0.02
PF01256	Carb_kinase	"Carbohydrate kinase"	5	0.03
PF01521	Fe-S_biosyn	"Iron-sulphur cluster biosynthesis"	1	0.01
PF04055	Radical_SAM	"Radical SAM superfamily"	10	0.05
PF00478	IMPDH	"IMP dehydrogenase / GMP reductase domain"	6	0.03
PF03922	OmpW	"OmpW family"	4	0.02
PF04172	LrgB	"LrgB-like family"	1	0.01
PF00474	SSF	"Sodium:solute symporter family"	4	0.02
PF01726	LexA_DNA_bind	"LexA DNA binding domain"	3	0.02
PF01624	MutS_I	"MutS domain I"	1	0.01
PF13630	SdpI	"SdpI/YhfL protein family"	1	0.01
PF13344	Hydrolase_6	"Haloacid dehalogenase-like hydrolase"	1	0.01
PF01915	Glyco_hydro_3_C	"Glycosyl hydrolase family 3 C-terminal domain"	2	0.01
PF01609	DDE_Tnp_1	"domain"	1	0.01
PF13394	Fer4_14	"4Fe-4S single cluster domain"	1	0.01
PF02645	DegV	"Uncharacterised protein, DegV family COG1307"	1	0.01
PF10734	DUF2523	"Protein of unknown function (DUF2523)"	2	0.01
PF06252	DUF1018	"Protein of unknown function (DUF1018)"	6	0.03
PF18851	baeRF_family8	"Bacterial archaeo-eukaryotic release factor family 8"	1	0.01
PF00700	Flagellin_C	"Bacterial flagellin C-terminal helical region"	2	0.01
PF13187	Fer4_9	"4Fe-4S dicluster domain"	1	0.01
PF18847	LPD29	"Large polyvalent protein associated domain 29"	1	0.01
PF11041	DUF2612	"Protein of unknown function (DUF2612)"	11	0.06
PF02537	CRCB	"CrcB-like protein, Camphor Resistance (CrcB)"	2	0.01
PF11741	AMIN	"AMIN domain"	1	0.01
PF08501	Shikimate_dh_N	"Shikimate dehydrogenase substrate binding domain"	3	0.02
PF02436	PYC_OADA	"Conserved carboxylase domain"	1	0.01
PF08245	Mur_ligase_M	"Mur ligase middle domain"	14	0.08
PF02872	5_nucleotid_C	"5'-nucleotidase, C-terminal domain"	1	0.01
PF09992	NAGPA	"Phosphodiester glycosidase"	3	0.02
PF06418	CTP_synth_N	"CTP synthase N-terminus"	1	0.01
PF09217	EcoRII-N	"Restriction endonuclease EcoRII, N-terminal"	2	0.01
PF02558	ApbA	"Ketopantoate reductase PanE/ApbA"	2	0.01
PF01258	zf-dskA_traR	"Prokaryotic dksA/traR C4-type zinc finger"	10	0.05
PF01694	Rhomboid	"Rhomboid family"	2	0.01
PF03054	tRNA_Me_trans	"tRNA methyl transferase"	12	0.07
PF01717	Meth_synt_2	"Cobalamin-independent synthase, Catalytic domain"	1	0.01
PF02223	Thymidylate_kin	"Thymidylate kinase"	6	0.03
PF03406	Phage_fiber_2	"Phage tail fibre repeat"	16	0.09
PF00347	Ribosomal_L6	"Ribosomal protein L6"	1	0.01
PF01475	FUR	"Ferric uptake regulator family"	4	0.02
PF00719	Pyrophosphatase	"Inorganic pyrophosphatase"	1	0.01
PF14112	DUF4284	"Immunity protein 22"	1	0.01
PF02574	S-methyl_trans	"Homocysteine S-methyltransferase"	6	0.03
PF13479	AAA_24	"AAA domain"	9	0.05
PF02787	CPSase_L_D3	"Carbamoyl-phosphate synthetase large chain, oligomerisation domain"	1	0.01
PF00408	PGM_PMM_IV	"Phosphoglucomutase/phosphomannomutase, C-terminal domain"	1	0.01
PF01370	Epimerase	"NAD dependent epimerase/dehydratase family"	19	0.10
PF09994	DUF2235	"Uncharacterized alpha/beta hydrolase domain (DUF2235)"	1	0.01
PF10549	ORF11CD3	"ORF11CD3 domain"	3	0.02
PF05368	NmrA	"NmrA-like family"	2	0.01
PF05876	Terminase_GpA	"Phage terminase large subunit (GpA)"	16	0.09
PF04127	DFP	"DNA / pantothenate metabolism flavoprotein"	3	0.02
PF00232	Glyco_hydro_1	"Glycosyl hydrolase family 1"	16	0.09
PF01402	RHH_1	"Ribbon-helix-helix protein, copG family"	1	0.01
PF18348	SH3_16	"Bacterial dipeptidyl-peptidase Sh3 domain"	1	0.01
PF08544	GHMP_kinases_C	"GHMP kinases C terminal"	2	0.01
PF04519	Bactofilin	"Polymer-forming cytoskeletal"	2	0.01
PF13419	HAD_2	"Haloacid dehalogenase-like hydrolase"	8	0.04
PF10469	AKAP7_NLS	"AKAP7 2'5' RNA ligase-like domain"	1	0.01
PF01244	Peptidase_M19	"Membrane dipeptidase (Peptidase family M19)"	2	0.01
PF01890	CbiG_C	"Cobalamin synthesis G C-terminus"	2	0.01
PF17769	PurK_C	"Phosphoribosylaminoimidazole carboxylase C-terminal domain"	2	0.01
PF13091	PLDc_2	"PLD-like domain"	8	0.04
PF00118	Cpn60_TCP1	"TCP-1/cpn60 chaperonin family"	5	0.03
PF00330	Aconitase	"Aconitase family (aconitate hydratase)"	7	0.04
PF00990	GGDEF	"Diguanylate cyclase, GGDEF domain"	2	0.01
PF13413	HTH_25	"Helix-turn-helix domain"	4	0.02
PF13272	Holin_2-3	"Putative 2/3 transmembrane domain holin"	3	0.02
PF01547	SBP_bac_1	"Bacterial extracellular solute-binding protein"	2	0.01
PF03483	B3_4	"B3/4 domain"	2	0.01
PF18072	FGAR-AT_linker	"Formylglycinamide ribonucleotide amidotransferase linker domain"	1	0.01
PF16198	TruB_C_2	"tRNA pseudouridylate synthase B C-terminal domain"	1	0.01
PF17966	Mub_B2	"Mub B2-like domain"	4	0.02
PF09838	DUF2065	"Uncharacterized protein conserved in bacteria (DUF2065)"	1	0.01
PF16715	CDPS	"Cyclodipeptide synthase"	1	0.01
PF09250	Prim-Pol	"Bifunctional DNA primase/polymerase, N-terminal"	8	0.04
PF10548	P22_AR_C	"P22AR C-terminal domain"	6	0.03
PF13354	Beta-lactamase2	"Beta-lactamase enzyme family"	4	0.02
PF00437	T2SSE	"Type II/IV secretion system protein"	1	0.01
PF13090	PP_kinase_C	"Polyphosphate kinase C-terminal domain 2"	2	0.01
PF05954	Phage_GPD	"Phage late control gene D protein (GPD)"	16	0.09
PF08809	DUF1799	"Phage related hypothetical protein (DUF1799)"	1	0.01
PF08531	Bac_rhamnosid_N	"Alpha-L-rhamnosidase N-terminal domain"	1	0.01
PF01131	Topoisom_bac	"DNA topoisomerase"	8	0.04
PF16188	Peptidase_M24_C	"C-terminal region of peptidase_M24"	2	0.01
PF08244	Glyco_hydro_32C	"Glycosyl hydrolases family 32 C terminal"	1	0.01
PF02866	Ldh_1_C	"lactate/malate dehydrogenase, alpha/beta C-terminal domain"	2	0.01
PF13676	TIR_2	"TIR domain"	1	0.01
PF07338	DUF1471	"Protein of unknown function (DUF1471)"	4	0.02
PF01546	Peptidase_M20	"Peptidase family M20/M25/M40"	14	0.08
PF02104	SURF1	"SURF1 family"	2	0.01
PF00733	Asn_synthase	"Asparagine synthase"	2	0.01
PF13176	TPR_7	"Tetratricopeptide repeat"	1	0.01
PF16989	T6SS_VasJ	"Type VI secretion, EvfE, EvfF, ImpA, BimE, VC_A0119, VasJ"	1	0.01
PF18845	baeRF_family3	"Bacterial archaeo-eukaryotic release factor family 3"	1	0.01
PF03352	Adenine_glyco	"Methyladenine glycosylase"	1	0.01
PF03259	Robl_LC7	"Roadblock/LC7 domain"	1	0.01
PF07739	TipAS	"TipAS antibiotic-recognition domain"	1	0.01
PF10076	DUF2313	"Uncharacterised protein conserved in bacteria (DUF2313)"	10	0.05
PF14338	Mrr_N	"Mrr N-terminal domain"	1	0.01
PF00119	ATP-synt_A	"ATP synthase A chain"	6	0.03
PF12832	MFS_1_like	"MFS_1 like family"	1	0.01
PF11306	DUF3108	"Protein of unknown function (DUF3108)"	1	0.01
PF06182	ABC2_membrane_6	"ABC-2 family transporter protein"	1	0.01
PF00712	DNA_pol3_beta	"DNA polymerase III beta subunit, N-terminal domain"	7	0.04
PF08433	KTI12	"Chromatin associated protein KTI12"	1	0.01
PF03883	H2O2_YaaD	"Peroxide stress protein YaaA"	1	0.01
PF00415	RCC1	"Regulator of chromosome condensation (RCC1) repeat"	2	0.01
PF03925	SeqA	"SeqA protein C-terminal domain"	1	0.01
PF13640	2OG-FeII_Oxy_3	"2OG-Fe(II) oxygenase superfamily"	1	0.01
PF01551	Peptidase_M23	"Peptidase family M23"	4	0.02
PF05940	NnrS	"NnrS protein"	4	0.02
PF02852	Pyr_redox_dim	"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"	6	0.03
PF03797	Autotransporter	"Autotransporter beta-domain"	7	0.04
PF06056	Terminase_5	"Putative ATPase subunit of terminase (gpP-like)"	8	0.04
PF02397	Bac_transf	"Bacterial sugar transferase"	1	0.01
PF00410	Ribosomal_S8	"Ribosomal protein S8"	1	0.01
PF03829	PTSIIA_gutA	"PTS system glucitol/sorbitol-specific IIA component"	2	0.01
PF01566	Nramp	"Natural resistance-associated macrophage protein"	4	0.02
PF13535	ATP-grasp_4	"ATP-grasp domain"	1	0.01
PF09684	Tail_P2_I	"Phage tail protein (Tail_P2_I)"	12	0.07
PF09587	PGA_cap	"Bacterial capsule synthesis protein PGA_cap"	1	0.01
PF04069	OpuAC	"Substrate binding domain of ABC-type glycine betaine transport system"	3	0.02
PF00356	LacI	"Bacterial regulatory proteins, lacI family"	4	0.02
PF07759	DUF1615	"Protein of unknown function (DUF1615)"	1	0.01
PF02606	LpxK	"Tetraacyldisaccharide-1-P 4'-kinase"	2	0.01
PF05673	DUF815	"Protein of unknown function (DUF815)"	2	0.01
PF09019	EcoRII-C	"EcoRII C terminal"	2	0.01
PF02609	Exonuc_VII_S	"Exonuclease VII small subunit"	1	0.01
PF04613	LpxD	"UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, LpxD"	1	0.01
PF13396	PLDc_N	"Phospholipase_D-nuclease N-terminal"	1	0.01
PF09856	DUF2083	"Predicted transcriptional regulator (DUF2083)"	1	0.01
PF02887	PK_C	"Pyruvate kinase, alpha/beta domain"	3	0.02
PF00773	RNB	"RNB domain"	8	0.04
PF00795	CN_hydrolase	"Carbon-nitrogen hydrolase"	5	0.03
PF01189	Methyltr_RsmB-F	"16S rRNA methyltransferase RsmB/F"	2	0.01
PF14528	LAGLIDADG_3	"LAGLIDADG-like domain"	1	0.01
PF04971	Phage_holin_2_1	"Bacteriophage P21 holin S"	2	0.01
PF01588	tRNA_bind	"Putative tRNA binding domain"	2	0.01
PF08706	D5_N	"D5 N terminal like"	3	0.02
PF16875	Glyco_hydro_36N	"Glycosyl hydrolase family 36 N-terminal domain"	1	0.01
PF00466	Ribosomal_L10	"Ribosomal protein L10"	1	0.01
PF12241	Enoyl_reductase	"Trans-2-enoyl-CoA reductase catalytic region"	1	0.01
PF02355	SecD_SecF	"Protein export membrane protein"	9	0.05
PF03459	TOBE	"TOBE domain"	2	0.01
PF11975	Glyco_hydro_4C	"Family 4 glycosyl hydrolase C-terminal domain"	1	0.01
PF01207	Dus	"Dihydrouridine synthase (Dus)"	15	0.08
PF12679	ABC2_membrane_2	"ABC-2 family transporter protein"	2	0.01
PF04973	NMN_transporter	"Nicotinamide mononucleotide transporter"	2	0.01
PF00265	TK	"Thymidine kinase"	6	0.03
PF13763	DUF4167	"Domain of unknown function (DUF4167)"	1	0.01
PF01774	UreD	"UreD urease accessory protein"	1	0.01
PF09646	Gp37	"Gp37 protein"	2	0.01
PF04610	TrbL	"TrbL/VirB6 plasmid conjugal transfer protein"	1	0.01
PF01555	N6_N4_Mtase	"DNA methylase"	32	0.18
PF01106	NifU	"NifU-like domain"	1	0.01
PF02875	Mur_ligase_C	"Mur ligase family, glutamate ligase domain"	5	0.03
PF18352	Gp138_N	"Phage protein Gp138 N-terminal domain"	7	0.04
PF01252	Peptidase_A8	"Signal peptidase (SPase) II"	2	0.01
PF00203	Ribosomal_S19	"Ribosomal protein S19"	1	0.01
PF13379	NMT1_2	"NMT1-like family"	2	0.01
PF14284	PcfJ	"PcfJ-like protein"	1	0.01
PF08951	EntA_Immun	"Enterocin A Immunity"	1	0.01
PF06305	LapA_dom	"Lipopolysaccharide assembly protein A domain"	2	0.01
PF16463	Phage_TTP_13	"Phage tail tube protein family"	1	0.01
PF12708	Pectate_lyase_3	"Pectate lyase superfamily protein"	1	0.01
PF10124	Mu-like_gpT	"Mu-like prophage major head subunit gpT"	4	0.02
PF16473	DUF5051	"3' exoribonuclease, RNase T-like"	4	0.02
PF07694	5TM-5TMR_LYT	"5TMR of 5TMR-LYT"	1	0.01
PF10108	DNA_pol_B_exo2	"Predicted 3'-5' exonuclease related to the exonuclease domain of PolB"	3	0.02
PF03447	NAD_binding_3	"Homoserine dehydrogenase, NAD binding domain"	1	0.01
PF03022	MRJP	"Major royal jelly protein"	1	0.01
PF13452	MaoC_dehydrat_N	"N-terminal half of MaoC dehydratase"	1	0.01
PF07370	DUF1489	"Protein of unknown function (DUF1489)"	1	0.01
PF12083	DUF3560	"Domain of unknown function (DUF3560)"	3	0.02
PF01168	Ala_racemase_N	"Alanine racemase, N-terminal domain"	5	0.03
PF08340	DUF1732	"Domain of unknown function (DUF1732)"	1	0.01
PF14501	HATPase_c_5	"GHKL domain"	1	0.01
PF13671	AAA_33	"AAA domain"	4	0.02
PF14130	DUF4297	"Domain of unknown function (DUF4297)"	1	0.01
PF00425	Chorismate_bind	"chorismate binding enzyme"	4	0.02
PF00919	UPF0004	"Uncharacterized protein family UPF0004"	1	0.01
PF04616	Glyco_hydro_43	"Glycosyl hydrolases family 43"	1	0.01
PF03950	tRNA-synt_1c_C	"tRNA synthetases class I (E and Q), anti-codon binding domain"	1	0.01
PF08239	SH3_3	"Bacterial SH3 domain"	5	0.03
PF03793	PASTA	"PASTA domain"	2	0.01
PF00144	Beta-lactamase	"Beta-lactamase"	9	0.05
PF01746	tRNA_m1G_MT	"tRNA (Guanine-1)-methyltransferase"	4	0.02
PF03477	ATP-cone	"ATP cone domain"	1	0.01
PF06199	Phage_tail_2	"Phage tail tube protein"	9	0.05
PF01039	Carboxyl_trans	"Carboxyl transferase domain"	3	0.02
PF02739	5_3_exonuc_N	"5'-3' exonuclease, N-terminal resolvase-like domain"	7	0.04
PF01071	GARS_A	"Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain"	3	0.02
PF14520	HHH_5	"Helix-hairpin-helix domain"	3	0.02
PF14681	UPRTase	"Uracil phosphoribosyltransferase"	4	0.02
PF13480	Acetyltransf_6	"Acetyltransferase (GNAT) domain"	1	0.01
PF03176	MMPL	"MMPL family"	3	0.02
PF01575	MaoC_dehydratas	"MaoC like domain"	2	0.01
PF03739	LptF_LptG	"Lipopolysaccharide export system permease LptF/LptG"	13	0.07
PF06213	CobT	"Cobalamin biosynthesis protein CobT"	2	0.01
