#KO	Name	Definition	Count	Count_pct
K09808	lolC_E	"lipoprotein-releasing system permease protein"	6	0.03
K00208	fabI	"enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]"	3	0.02
K07673	narX	"two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]"	34	0.19
K02563	murG	"UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]"	6	0.03
K06899	ndpA	"nucleoid-associated protein"	4	0.02
K15633	gpmI	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"	3	0.02
K02871	RP-L13, MRPL13, rplM	"large subunit ribosomal protein L13"	1	0.01
K05351	E1.1.1.9	"D-xylulose reductase [EC:1.1.1.9]"	1	0.01
K01686	uxuA	"mannonate dehydratase [EC:4.2.1.8]"	3	0.02
K13788	pta	"phosphate acetyltransferase [EC:2.3.1.8]"	5	0.03
K02334	dpo	"DNA polymerase bacteriophage-type [EC:2.7.7.7]"	9	0.05
K00974	cca	"tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]"	3	0.02
K08153	blt	"MFS transporter, DHA1 family, multidrug resistance protein"	1	0.01
K06024	scpB	"segregation and condensation protein B"	1	0.01
K13512	LPCAT4, AGPAT7	"lysophospholipid acyltransferase [EC:2.3.1.23 2.3.1.-]"	1	0.01
K12410	npdA	"NAD-dependent deacetylase [EC:3.5.1.-]"	3	0.02
K09903	pyrH	"uridylate kinase [EC:2.7.4.22]"	3	0.02
K13888	macA	"membrane fusion protein, macrolide-specific efflux system"	1	0.01
K10039	peb1A, glnH	"aspartate/glutamate/glutamine transport system substrate-binding protein"	1	0.01
K13006	wbqR	"UDP-perosamine 4-acetyltransferase [EC:2.3.1.-]"	3	0.02
K02343	dnaX	"DNA polymerase III subunit gamma/tau [EC:2.7.7.7]"	11	0.06
K03522	fixB, etfA	"electron transfer flavoprotein alpha subunit"	3	0.02
K03597	rseA	"sigma-E factor negative regulatory protein RseA"	1	0.01
K00021	HMGCR	"hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]"	1	0.01
K03637	moaC, CNX3	"cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]"	2	0.01
K15257	cmoB	"tRNA (mo5U34)-methyltransferase [EC:2.1.1.-]"	1	0.01
K08693	yfkN	"2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase / 5'-nucleotidase [EC:3.1.4.16 3.1.3.6 3.1.3.5]"	1	0.01
K01837	BPGM	"bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11]"	7	0.04
K00097	pdxA	"4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]"	3	0.02
K21636	nrdD	"ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]"	1	0.01
K08219	UMF2	"MFS transporter, UMF2 family, putative MFS family transporter protein"	57	0.31
K00099	dxr	"1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]"	1	0.01
K01589	purK	"5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]"	2	0.01
K01779	racD	"aspartate racemase [EC:5.1.1.13]"	12	0.07
K17759	AIBP, nnrE	"NAD(P)H-hydrate epimerase [EC:5.1.99.6]"	3	0.02
K00863	DAK, TKFC	"triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]"	1	0.01
K16322	pit	"low-affinity inorganic phosphate transporter"	1	0.01
K08369	ydjE	"MFS transporter, putative metabolite:H+ symporter"	4	0.02
K11331	nrsC	"cation efflux system protein involved in nickel and cobalt tolerance [EC:3.2.1.17]"	22	0.12
K07259	dacB	"serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]"	1	0.01
K00120	fgd2	"F420-dependent hydroxymycolic acid dehydrogenase [EC:1.1.98.-]"	1	0.01
K03666	hfq	"host factor-I protein"	1	0.01
K00957	cysD	"sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]"	1	0.01
K23188	fepC	"ferric enterobactin transport system ATP-binding protein [EC:7.2.2.17]"	1	0.01
K11605	sitC	"manganese/iron transport system permease protein"	8	0.04
K03790	rimJ	"[ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]"	2	0.01
K00904	DGUOK	"deoxyguanosine kinase [EC:2.7.1.113]"	6	0.03
K22468	ppk2	"polyphosphate kinase [EC:2.7.4.1]"	1	0.01
K03577	acrR, smeT	"TetR/AcrR family transcriptional regulator, acrAB operon repressor"	2	0.01
K13714	atl	"bifunctional autolysin [EC:3.5.1.28 3.2.1.96]"	19	0.10
K07724	ner, nlp, sfsB	"Ner family transcriptional regulator"	1	0.01
K02858	ribB, RIB3	"3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]"	1	0.01
K10353	E2.7.1.76, dak	"deoxyadenosine kinase [EC:2.7.1.76]"	4	0.02
K00219	fadH	"2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]"	3	0.02
K03820	lnt	"apolipoprotein N-acyltransferase [EC:2.3.1.269]"	7	0.04
K10008	gluA	"glutamate transport system ATP-binding protein [EC:7.4.2.1]"	2	0.01
K02204	thrB2	"homoserine kinase type II [EC:2.7.1.39]"	3	0.02
K11192	PTS-Mur-EIIC, murP	"PTS system, N-acetylmuramic acid-specific IIC component"	12	0.07
K07717	ycbA, glnK	"two-component system, sensor histidine kinase YcbA [EC:2.7.13.3]"	26	0.14
K16013	cydD	"ATP-binding cassette, subfamily C, bacterial CydD"	1	0.01
K03634	lolA	"outer membrane lipoprotein carrier protein"	1	0.01
K11927	rhlE	"ATP-dependent RNA helicase RhlE [EC:3.6.4.13]"	9	0.05
K16074	zntB	"zinc transporter"	1	0.01
K00472	P4HA	"prolyl 4-hydroxylase [EC:1.14.11.2]"	1	0.01
K02654	pilD, pppA	"leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]"	1	0.01
K01673	cynT, can	"carbonic anhydrase [EC:4.2.1.1]"	1	0.01
K02054	ABC.SP.P1	"putative spermidine/putrescine transport system permease protein"	1	0.01
K15270	sam	"S-adenosylmethionine uptake transporter"	2	0.01
K00492	tmuM	"1,3,7-trimethyluric acid 5-monooxygenase [EC:1.14.13.212]"	1	0.01
K11711	dctS	"two-component system, LuxR family, sensor histidine kinase DctS [EC:2.7.13.3]"	30	0.16
K02346	dinB	"DNA polymerase IV [EC:2.7.7.7]"	4	0.02
K01681	ACO, acnA	"aconitate hydratase [EC:4.2.1.3]"	9	0.05
K00684	aat	"leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]"	1	0.01
K15654	srfAA, lchAA	"surfactin family lipopeptide synthetase A"	1	0.01
K04063	osmC, ohr	"lipoyl-dependent peroxidase"	1	0.01
K00003	hom	"homoserine dehydrogenase [EC:1.1.1.3]"	10	0.05
K08310	nudB, ntpA	"dihydroneopterin triphosphate diphosphatase [EC:3.6.1.67]"	2	0.01
K15599	thiX	"putative hydroxymethylpyrimidine transport system permease protein"	4	0.02
K00075	murB	"UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]"	7	0.04
K23107	yajO	"1-deoxyxylulose-5-phosphate synthase [EC:1.1.-.-]"	1	0.01
K22129	dtnK, denK	"D-threonate/D-erythronate kinase [EC:2.7.1.219 2.7.1.220]"	1	0.01
K12988	wapR	"alpha-1,3-rhamnosyltransferase [EC:2.4.1.-]"	1	0.01
K11528	glmU	"UDP-N-acetylglucosamine pyrophosphorylase [EC:2.7.7.23]"	6	0.03
K00013	hisD	"histidinol dehydrogenase [EC:1.1.1.23]"	3	0.02
K08309	slt	"soluble lytic murein transglycosylase [EC:4.2.2.-]"	1	0.01
K07646	kdpD	"two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]"	57	0.31
K11750	frsA	"esterase FrsA [EC:3.1.-.-]"	1	0.01
K10021	occP, nocP	"octopine/nopaline transport system ATP-binding protein [EC:7.4.2.1]"	2	0.01
K02988	RP-S5, MRPS5, rpsE	"small subunit ribosomal protein S5"	1	0.01
K09013	sufC	"Fe-S cluster assembly ATP-binding protein"	1	0.01
K00204	fwdH	"4Fe-4S ferredoxin"	1	0.01
K01775	alr	"alanine racemase [EC:5.1.1.1]"	3	0.02
K02548	menA	"1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]"	1	0.01
K06873	K06873	"uncharacterized protein"	3	0.02
K03574	mutT, NUDT15, MTH2	"8-oxo-dGTP diphosphatase [EC:3.6.1.55]"	1	0.01
K00201	fwdB, fmdB	"formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]"	2	0.01
K01179	E3.2.1.4	"endoglucanase [EC:3.2.1.4]"	1	0.01
K22879	hpyO	"FAD-dependent urate hydroxylase [EC:1.14.13.113]"	2	0.01
K00619	argA	"amino-acid N-acetyltransferase [EC:2.3.1.1]"	6	0.03
K07705	lytT, lytR	"two-component system, LytTR family, response regulator LytT"	1	0.01
K03763	polC	"DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]"	9	0.05
K06194	nlpD	"lipoprotein NlpD"	2	0.01
K08801	PASK	"PAS domain containing serine/threonine kinase [EC:2.7.11.1]"	12	0.07
K02035	ABC.PE.S	"peptide/nickel transport system substrate-binding protein"	14	0.08
K06131	clsA_B	"cardiolipin synthase A/B [EC:2.7.8.-]"	4	0.02
K02500	hisF	"imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]"	4	0.02
K16868	tehB	"tellurite methyltransferase [EC:2.1.1.265]"	1	0.01
K06125	COQ2	"4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]"	1	0.01
K01591	pyrF	"orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]"	2	0.01
K07771	basR	"two-component system, OmpR family, response regulator BasR"	5	0.03
K09787	K09787	"uncharacterized protein"	1	0.01
K03316	TC.CPA1	"monovalent cation:H+ antiporter, CPA1 family"	3	0.02
K07455	recT	"recombination protein RecT"	4	0.02
K00943	tmk, DTYMK	"dTMP kinase [EC:2.7.4.9]"	2	0.01
K00839	pucG	"(S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112]"	1	0.01
K01950	E6.3.5.1, NADSYN1, QNS1, nadE	"NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]"	1	0.01
K12945	nudK	"GDP-mannose pyrophosphatase NudK [EC:3.6.1.-]"	1	0.01
K08348	fdnG	"formate dehydrogenase-N, alpha subunit [EC:1.17.5.3]"	10	0.05
K11606	sitD	"manganese/iron transport system permease protein"	3	0.02
K02108	ATPF0A, atpB	"F-type H+-transporting ATPase subunit a"	6	0.03
K03980	murJ, mviN	"putative peptidoglycan lipid II flippase"	5	0.03
K06139	pqqE	"PqqA peptide cyclase [EC:1.21.98.4]"	2	0.01
K12420	actIII, oxyJ, snoaD, aknA	"ketoreductase [EC:1.1.1.-]"	2	0.01
K10916	cqsS	"two-component system, CAI-1 autoinducer sensor kinase/phosphatase CqsS [EC:2.7.13.3 3.1.3.-]"	20	0.11
K00919	ispE	"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]"	2	0.01
K09014	sufB	"Fe-S cluster assembly protein SufB"	3	0.02
K09686		""	1	0.01
K01486	ade	"adenine deaminase [EC:3.5.4.2]"	60	0.33
K13889	gsiB	"glutathione transport system substrate-binding protein"	6	0.03
K13117	DHX35	"ATP-dependent RNA helicase DDX35 [EC:3.6.4.13]"	3	0.02
K02520	infC, MTIF3	"translation initiation factor IF-3"	1	0.01
K06872	K06872	"uncharacterized protein"	1	0.01
K11085	msbA	"ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]"	5	0.03
K01998	livM	"branched-chain amino acid transport system permease protein"	18	0.10
K00297	metF, MTHFR	"methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]"	2	0.01
K01848	E5.4.99.2A, mcmA1	"methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]"	3	0.02
K00948	PRPS, prsA	"ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"	2	0.01
K03497	parB, spo0J	"ParB family transcriptional regulator, chromosome partitioning protein"	3	0.02
K03044	rpoB1	"DNA-directed RNA polymerase subunit B' [EC:2.7.7.6]"	3	0.02
K04072	adhE	"acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]"	2	0.01
K03520	coxL, cutL	"aerobic carbon-monoxide dehydrogenase large subunit [EC:1.2.5.3]"	1	0.01
K18588	COQ10	"coenzyme Q-binding protein COQ10"	1	0.01
K01255	CARP, pepA	"leucyl aminopeptidase [EC:3.4.11.1]"	8	0.04
K01908	ACSS3, prpE	"propionyl-CoA synthetase [EC:6.2.1.17]"	1	0.01
K13529	ada-alkA	"AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II [EC:3.2.2.21]"	4	0.02
K13668	pimB	"phosphatidyl-myo-inositol dimannoside synthase [EC:2.4.1.346]"	1	0.01
K06045	shc	"squalene-hopene/tetraprenyl-beta-curcumene cyclase [EC:5.4.99.17 4.2.1.129]"	1	0.01
K06189	corC	"magnesium and cobalt transporter"	2	0.01
K09812	ftsE	"cell division transport system ATP-binding protein"	4	0.02
K21618	DLD3	"(R)-2-hydroxyglutarate---pyruvate transhydrogenase [EC:1.1.99.40]"	1	0.01
K03667	hslU	"ATP-dependent HslUV protease ATP-binding subunit HslU"	7	0.04
K00343	nuoN	"NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]"	5	0.03
K03106	SRP54, ffh	"signal recognition particle subunit SRP54 [EC:3.6.5.4]"	3	0.02
K00127	fdoI, fdsG	"formate dehydrogenase subunit gamma"	1	0.01
K15587	nikD, cntD	"nickel transport system ATP-binding protein [EC:7.2.2.11]"	2	0.01
K02799	PTS-Mtl-EIIB, mtlA, cmtA	"PTS system, mannitol-specific IIB component [EC:2.7.1.197]"	3	0.02
K08165	ATR1	"MFS transporter, DHA2 family, multidrug resistance protein"	1	0.01
K10772	APEX2	"AP endonuclease 2 [EC:4.2.99.18]"	1	0.01
K03548	perM	"putative permease"	2	0.01
K03021	RPC2, POLR3B	"DNA-directed RNA polymerase III subunit RPC2 [EC:2.7.7.6]"	3	0.02
K11477	glcG	"glc operon protein GlcG"	1	0.01
K03363	CDC20	"cell division cycle 20, cofactor of APC complex"	1	0.01
K06956	K06956	"uncharacterized protein"	5	0.03
K01965	PCCA, pccA	"propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]"	9	0.05
K07230	p19, ftrA	"periplasmic iron binding protein"	1	0.01
K05658	ABCB1, CD243	"ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:7.6.2.2]"	1	0.01
K03955	NDUFAB1	"NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein"	1	0.01
K10015	hisM	"histidine transport system permease protein"	1	0.01
K05847	opuA	"osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]"	34	0.19
K18000	pqsA	"anthranilate-CoA ligase [EC:6.2.1.32]"	1	0.01
K13292	lgt, umpA	"phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]"	2	0.01
K02774	PTS-Gat-EIIB, gatB, sgcB	"PTS system, galactitol-specific IIB component [EC:2.7.1.200]"	7	0.04
K03631	recN	"DNA repair protein RecN (Recombination protein N)"	4	0.02
K13184	DHX9	"ATP-dependent RNA helicase A [EC:3.6.4.13]"	13	0.07
K07704	lytS	"two-component system, LytTR family, sensor histidine kinase LytS [EC:2.7.13.3]"	31	0.17
K01153	hsdR	"type I restriction enzyme, R subunit [EC:3.1.21.3]"	1	0.01
K16202	dppD	"dipeptide transport system ATP-binding protein"	1	0.01
K01356	lexA	"repressor LexA [EC:3.4.21.88]"	14	0.08
K22074	NFU1, HIRIP5	"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial"	1	0.01
K00382	DLD, lpd, pdhD	"dihydrolipoamide dehydrogenase [EC:1.8.1.4]"	16	0.09
K13979	yahK	"uncharacterized zinc-type alcohol dehydrogenase-like protein [EC:1.-.-.-]"	1	0.01
K06861	lptB	"lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]"	74	0.41
K01494	dcd	"dCTP deaminase [EC:3.5.4.13]"	9	0.05
K02074	ABC.ZM.A	"zinc/manganese transport system ATP-binding protein"	2	0.01
K13890	gsiC	"glutathione transport system permease protein"	4	0.02
K06878	K06878	"tRNA-binding protein"	1	0.01
K03630	radC	"DNA repair protein RadC"	4	0.02
K05515	mrdA	"penicillin-binding protein 2 [EC:3.4.16.4]"	2	0.01
K18850	ycfD	"50S ribosomal protein L16 3-hydroxylase [EC:1.14.11.47]"	1	0.01
K12339	cysM	"S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144]"	1	0.01
K13497	trpGD	"anthranilate synthase/phosphoribosyltransferase [EC:4.1.3.27 2.4.2.18]"	12	0.07
K04781	mbtI, irp9, ybtS	"salicylate synthetase [EC:5.4.4.2 4.2.99.21]"	1	0.01
K03495	gidA, mnmG, MTO1	"tRNA uridine 5-carboxymethylaminomethyl modification enzyme"	5	0.03
K18258	CRYM	"thiomorpholine-carboxylate dehydrogenase [EC:1.5.1.25]"	2	0.01
K01892	HARS, hisS	"histidyl-tRNA synthetase [EC:6.1.1.21]"	6	0.03
K03342	pabBC	"para-aminobenzoate synthetase / 4-amino-4-deoxychorismate lyase [EC:2.6.1.85 4.1.3.38]"	9	0.05
K23228	fhuB	"ferric hydroxamate transport system permease protein"	2	0.01
K01706	gudD	"glucarate dehydratase [EC:4.2.1.40]"	1	0.01
K00249	ACADM, acd	"acyl-CoA dehydrogenase [EC:1.3.8.7]"	3	0.02
K16090	fiu	"catecholate siderophore receptor"	1	0.01
K13735	yeeJ	"adhesin/invasin"	1	0.01
K01046	lip, TGL2	"triacylglycerol lipase [EC:3.1.1.3]"	2	0.01
K01160	rusA	"crossover junction endodeoxyribonuclease RusA [EC:3.1.22.4]"	3	0.02
K02100	araE	"MFS transporter, SP family, arabinose:H+ symporter"	2	0.01
K00278	nadB	"L-aspartate oxidase [EC:1.4.3.16]"	3	0.02
K11073	potF	"putrescine transport system substrate-binding protein"	1	0.01
K00648	fabH	"3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]"	2	0.01
K02911	RP-L32, MRPL32, rpmF	"large subunit ribosomal protein L32"	1	0.01
K03599	sspA, mglA	"stringent starvation protein A"	1	0.01
K02952	RP-S13, rpsM	"small subunit ribosomal protein S13"	1	0.01
K00941	thiD	"hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]"	2	0.01
K01966	PCCB, pccB	"propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]"	1	0.01
K11357	divJ	"two-component system, cell cycle sensor histidine kinase DivJ [EC:2.7.13.3]"	36	0.20
K07712	glnG, ntrC	"two-component system, NtrC family, nitrogen regulation response regulator GlnG"	3	0.02
K01817	trpF	"phosphoribosylanthranilate isomerase [EC:5.3.1.24]"	4	0.02
K13761	PDE9	"high affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9 [EC:3.1.4.35]"	10	0.05
K00966	GMPP	"mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]"	7	0.04
K12811	DDX46, PRP5	"ATP-dependent RNA helicase DDX46/PRP5 [EC:3.6.4.13]"	5	0.03
K03697	clpE	"ATP-dependent Clp protease ATP-binding subunit ClpE"	1	0.01
K09699	DBT, bkdB	"2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]"	3	0.02
K02203	thrH	"phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]"	1	0.01
K03214	yfiF, trmG	"RNA methyltransferase, TrmH family [EC:2.1.1.-]"	1	0.01
K03554	rdgC	"recombination associated protein RdgC"	9	0.05
K03438	mraW, rsmH	"16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]"	7	0.04
K06952	K06952	"uncharacterized protein"	2	0.01
K12574	rnj	"ribonuclease J [EC:3.1.-.-]"	6	0.03
K03100	lepB	"signal peptidase I [EC:3.4.21.89]"	2	0.01
K03582	recB	"exodeoxyribonuclease V beta subunit [EC:3.1.11.5]"	2	0.01
K13746	cansdh	"carboxynorspermidine synthase [EC:1.5.1.43]"	2	0.01
K01531	mgtA, mgtB	"P-type Mg2+ transporter [EC:7.2.2.14]"	4	0.02
K03455	TC.KEF	"monovalent cation:H+ antiporter-2, CPA2 family"	2	0.01
K10009	tcyB, yecS	"L-cystine transport system permease protein"	1	0.01
K02030	ABC.PA.S	"polar amino acid transport system substrate-binding protein"	32	0.18
K03657	uvrD, pcrA	"DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]"	6	0.03
K03722	dinG	"ATP-dependent DNA helicase DinG [EC:3.6.4.12]"	1	0.01
K07645	qseC	"two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]"	28	0.15
K05562	phaE	"multicomponent K+:H+ antiporter subunit E"	2	0.01
K12251	aguB	"N-carbamoylputrescine amidase [EC:3.5.1.53]"	1	0.01
K02742	sprT	"SprT protein"	1	0.01
K12111	ebgA	"evolved beta-galactosidase subunit alpha [EC:3.2.1.23]"	4	0.02
K00125	fdhB	"formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]"	2	0.01
K07716	pleC	"two-component system, cell cycle sensor histidine kinase PleC [EC:2.7.13.3]"	36	0.20
K02017	modC	"molybdate transport system ATP-binding protein [EC:7.3.2.5]"	27	0.15
K02798	PTS-Mtl-EIIA, mtlA, cmtB	"PTS system, mannitol-specific IIA component [EC:2.7.1.197]"	4	0.02
K00762	pyrE	"orotate phosphoribosyltransferase [EC:2.4.2.10]"	3	0.02
K01089	hisB	"imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:4.2.1.19 3.1.3.15]"	3	0.02
K00764	purF, PPAT	"amidophosphoribosyltransferase [EC:2.4.2.14]"	6	0.03
K00867	coaA	"type I pantothenate kinase [EC:2.7.1.33]"	1	0.01
K10040	peb1B, glnP, glnM	"aspartate/glutamate/glutamine transport system permease protein"	2	0.01
K03797	E3.4.21.102, prc, ctpA	"carboxyl-terminal processing protease [EC:3.4.21.102]"	2	0.01
K01575	alsD, budA, aldC	"acetolactate decarboxylase [EC:4.1.1.5]"	1	0.01
K10527	MFP2	"enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35 1.1.1.211]"	1	0.01
K01961	accC	"acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"	3	0.02
K01918	panC	"pantoate--beta-alanine ligase [EC:6.3.2.1]"	3	0.02
K00573	E2.1.1.77, pcm	"protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]"	2	0.01
K06269	PPP1C	"serine/threonine-protein phosphatase PP1 catalytic subunit [EC:3.1.3.16]"	1	0.01
K01443	nagA, AMDHD2	"N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]"	1	0.01
K09888	zapA	"cell division protein ZapA"	1	0.01
K02526	kdgT	"2-keto-3-deoxygluconate permease"	2	0.01
K02752	PTS-Asc-EIIB, ascF	"PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific IIB component [EC:2.7.1.-]"	10	0.05
K07698	kinC	"two-component system, sporulation sensor kinase C [EC:2.7.13.3]"	11	0.06
K07320	prmB	"ribosomal protein L3 glutamine methyltransferase [EC:2.1.1.298]"	1	0.01
K22130	otnC	"3-dehydro-4-phosphotetronate decarboxylase [EC:4.1.1.104]"	1	0.01
K10150	cysO	"cysteine synthase / O-phosphoserine sulfhydrylase / cystathionine beta-synthase [EC:2.5.1.47 2.5.1.65 4.2.1.22]"	1	0.01
K00284	GLU, gltS	"glutamate synthase (ferredoxin) [EC:1.4.7.1]"	1	0.01
K02388	flgC	"flagellar basal-body rod protein FlgC"	2	0.01
K01869	LARS, leuS	"leucyl-tRNA synthetase [EC:6.1.1.4]"	5	0.03
K13894	yejB	"microcin C transport system permease protein"	3	0.02
K13926	rbbA	"ribosome-dependent ATPase"	3	0.02
K01428	ureC	"urease subunit alpha [EC:3.5.1.5]"	3	0.02
K08280	wbbJ	"lipopolysaccharide O-acetyltransferase [EC:2.3.1.-]"	3	0.02
K03388	hdrA2	"heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]"	51	0.28
K07777	degS	"two-component system, NarL family, sensor histidine kinase DegS [EC:2.7.13.3]"	4	0.02
K02536	lpxD	"UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]"	23	0.13
K03725	K03725	"archaea-specific helicase [EC:3.6.4.-]"	1	0.01
K04517	tyrA2	"prephenate dehydrogenase [EC:1.3.1.12]"	2	0.01
K01889	FARSA, pheS	"phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]"	5	0.03
K03527	ispH, lytB	"4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]"	3	0.02
K07680	comP	"two-component system, NarL family, sensor histidine kinase ComP [EC:2.7.13.3]"	3	0.02
K19527	VPS13D	"vacuolar protein sorting-associated protein 13D"	1	0.01
K02794	PTS-Man-EIIB, manX	"PTS system, mannose-specific IIB component [EC:2.7.1.191]"	29	0.16
K03684	rnd	"ribonuclease D [EC:3.1.13.5]"	3	0.02
K03441	GLP-F	"aquaglyceroporin related protein, other eukaryote"	1	0.01
K00375	K00375	"GntR family transcriptional regulator / MocR family aminotransferase"	2	0.01
K10441	rbsA	"ribose transport system ATP-binding protein [EC:7.5.2.7]"	6	0.03
K00015	gyaR, GOR1	"glyoxylate reductase [EC:1.1.1.26]"	3	0.02
K13040	ttrS	"two-component system, LuxR family, sensor histidine kinase TtrS [EC:2.7.13.3]"	12	0.07
K00831	serC, PSAT1	"phosphoserine aminotransferase [EC:2.6.1.52]"	1	0.01
K02409	fliF	"flagellar M-ring protein FliF"	1	0.01
K15667	K15667, ppsD, fenA	"fengycin family lipopeptide synthetase D"	1	0.01
K02112	ATPF1B, atpD	"F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"	8	0.04
K14447	ecm	"ethylmalonyl-CoA mutase [EC:5.4.99.63]"	3	0.02
K01802	E5.2.1.8	"peptidylprolyl isomerase [EC:5.2.1.8]"	3	0.02
K02491	kinA	"two-component system, sporulation sensor kinase A [EC:2.7.13.3]"	18	0.10
K03424	tatD	"TatD DNase family protein [EC:3.1.21.-]"	1	0.01
K02504	hofB	"protein transport protein HofB"	1	0.01
K00372	nasA	"assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]"	1	0.01
K05864	PPID, CYPD	"peptidyl-prolyl isomerase D [EC:5.2.1.8]"	2	0.01
K00749	E2.4.1.183	"alpha-1,3-glucan synthase [EC:2.4.1.183]"	1	0.01
K07226	hugZ, hutZ	"heme iron utilization protein"	1	0.01
K09458	fabF, OXSM, CEM1	"3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]"	4	0.02
K05349	bglX	"beta-glucosidase [EC:3.2.1.21]"	6	0.03
K18778	zapD	"cell division protein ZapD"	1	0.01
K07568	queA	"S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]"	5	0.03
